Shiraz University,Department Of Mechanical And Nuclear Engineering, Masters (S19),Other , Website , 16 Jul 2018,,,,, ,I,16 Jul 2018,,
Penn State (Pennsylvania State University) PSU,Department Of Mechanical And Nuclear Engineering, PhD (F18),Accepted , E-mail , 26 Feb 2018,,,,, ,I,16 Apr 2018,I have rejected today their offer of TAship (3/4th) since I was not able to find suitable professor with whom I may work. Some prof in Thermal sciences don't accept non-US students.,
"University Of Illinois At Urbana-Champaign (UIUC), Etc","Nuclear Plasma And Radiological Engineering, Nuclear Engineering",Other (F18),Other ,Other,10 Apr 2018,,,,, ,O,10 Apr 2018,"I am wondering how many slots are lefted for Nuclear Engineering Programs at this moment. If somebody who hold multiple admission letters from Nuclear Engineering programs, please make decisions or release them. :0",
Penn State (Pennsylvania State University),Mechanical And Nuclear Engineering, PhD (F18),Rejected , E-mail , 29 Mar 2018 ,3.8,155,170,3, n/a,I,30 Mar 2018,Why so late ? lol,
University Of Utah,Nuclear & Radiological Engineering & Medical Physics, PhD (F18),Other , Other , 28 Mar 2018,,,,, ,A,28 Mar 2018,"Offered GRA in lab of choice (no TA, ever) with full funding. Accepted offer.
Will decline offers from Arizona State (phys PhD), Texas at Arlington (phys PhD) and Colorado School of Mines (Nucl.). Glad it's finally over. Good luck to the rest of you.",
University Of Wisconsin- Madison,Nuclear Engineering And Engineering Physics, Masters (F18),Other , Other , 27 Mar 2018,,,,, ,A,27 Mar 2018,"To the post below : ""other students at the UWisc Nuclear Engineering and Engineering Physics visiting weekend, has anyone gotten a firm RA offer?""

I have not heard anything back yet either",
"University Of Michigan, Ann Arbor",Nuclear Engineering And Radiological Science, PhD (S18),Accepted , E-mail , 23 Mar 2018 ,3.83,161,161,5.5, n/a,A,26 Mar 2018,Accepted to the Fusion & Plasma track with full funding after visiting with the department a week prior. Veteran with 6 years of professional engineering experience.,
"University Of Michigan, Ann Arbor",Nuclear Engineering, PhD (F18),Accepted , E-mail , 23 Mar 2018 ,3.78,160,164,4.5, n/a,A,24 Mar 2018,"Accepted after visiting about a week ago. Accepted for plasma physics research. Full financial offer, tuition & fees waived, health insurance included. Same person who posted about the visit previously.",
"University Of Michigan, Ann Arbor",Nuclear Engineering, PhD (F18),Accepted , E-mail , 23 Mar 2018,,,,, ,A,24 Mar 2018,"Accepted after visiting about a week ago. Accepted for plasma physics research. Full financial offer, tuition",
ีUniversity Of Wisconsin - Madison,Nuclear Engineering And Engineering Physics, PhD (F18),Other , Other , 24 Mar 2018,,,,, ,A,24 Mar 2018,"To other students at the UWisc Nuclear Engineering and Engineering Physics visiting weekend, has anyone gotten a firm RA offer?",
TAMU (Texas A&M University) College Station,Nuclear Engineering, PhD (F18),Accepted , E-mail , 24 Mar 2018 ,3.51,150,147,3.5, n/a,I,23 Mar 2018,,
Illinois At Urbana Champaign (UIUC),Nuclear Engineering, PhD (F18),Accepted , E-mail , 2 Mar 2018 ,3.97,157,167,3.5, n/a,I,19 Mar 2018,$2222 monthly stipend + RA possibility for 2 months,
NC State (NCSU),Nuclear Engineering, Masters (F18),Rejected , E-mail , 5 Mar 2018 ,2.98,0,0,99.99, n/a,A,14 Mar 2018,,
Illinois At Urbana Champaign (UIUC),Nuclear Plasma And Radiological Engineering, PhD (F18),Accepted , E-mail , 12 Mar 2018,,,,, ,U,12 Mar 2018,"Applied to PhD, got an offer for MS with 50% funding. 
To posters below, has anyone done the calculation or somehow knows whether we can live off with just the stipend alone?",
Eidgenössische Technische Hochschule Zürich (ETH Zurich),Nuclear Engineering, Masters (F18),Accepted , E-mail , 12 Mar 2018,,,,, ,I,12 Mar 2018,"Belgian student. Had an internship at ETH, and great LOR.",
Illinois At Urbana Champaign (UIUC),Nuclear Plasma And Radiological Engineering, PhD (F18),Accepted , E-mail , 10 Mar 2018 ,3.71,159,168,5, n/a,I,11 Mar 2018,"Similar to the post below, applied for PhD, offered MS with opportunity to continue towards PhD, 50% funding.",
NC State University (NCSU),Nuclear Engineering, PhD (F18),Accepted , E-mail , 1 Mar 2018 ,3.92,154,169,3, n/a,I,10 Mar 2018,"Ehh, correcting the last one, ""admitted without funding""",
NC State University (NCSU),Nuclear Engineering, PhD (F18),Accepted , E-mail , 1 Mar 2018 ,3.92,154,169,3, n/a,I,10 Mar 2018,"Admitted with funding, not just me but all my fellow students in NE Dept.. Apparently they are out of money :)",
Penn State Univ. (PSU) University Park,Nuclear Engineering, PhD (F18),Accepted , E-mail , 13 Feb 2018 ,3.92,154,169,3, n/a,I,10 Mar 2018,"1 year half-time TA, heard it is renewable.",
The University Of Illinois At Urbana-Champaign (UIUC),"Nuclear, Plasma, And Radiological Engineering", Masters (F18),Accepted , E-mail , 10 Mar 2018 ,3.92,154,169,3, n/a,I,10 Mar 2018,"Applied for PHD, offered a MS with 50% assistantship (they do not give direct PHD to bachelors)",
Penn State (Pennsylvania State University),Mechanical And Nuclear Engineering, PhD (F18),Rejected , E-mail , 5 Mar 2018,,,,, ,I,8 Mar 2018,"Surprised to see such a result from Penn State, I believe I have a strong profile (department valedictorian, two research interns- including one foreign intern, couple of posters- one in US conference, 1 conference paper, strong LoRs from local faculty and 331 in GRE)",
Penn State (Pennsylvania State University),Department Of Mechanical And Nuclear Engineering, PhD (F18),Accepted , E-mail , 26 Feb 2018 ,3.69,153,160,3.5, n/a,I,2 Mar 2018,"Indian Institute of Technology Kanpur bachelors with good SOP, good LOR (1 German intern and recommendation) and 1 paper acknowledgment. Offered half time TA ship ($11,407 per semester) and tuition is paid by department. 
Good Luck for others.",
Pennsylvenia State University,Department Of Mechanical And Nuclear Engineering, PhD (F18),Accepted , E-mail , 28 Feb 2018 ,n/a,160,167,3.5, n/a,I,28 Feb 2018,Strong LOR. 2+ years of research. 1 Conference. 1 Journal (under review). 1 year TA.,
Eidgenössische Technische Hochschule Zürich (ETH Zurich),Nuclear Engineering, Masters (F18),Rejected , E-mail , 26 Feb 2018 ,n/a,164,166,3, n/a,I,27 Feb 2018,"High undergrad scores, always 10th percentile, 5-year work experience as engineer.",
The University Of Utah,Nuclear Engineering, PhD (F18),Accepted , E-mail , 21 Feb 2018,,,,, ,A,21 Feb 2018,Offered GRA position and 23k stipend w/o having to do a TA (I think).,
The University Of New Mexico (UNM),Nuclear Engineering, PhD (F18),Accepted , E-mail , 12 Feb 2018,,,,, ,I,20 Feb 2018,,
Massachusett Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F18),Accepted , E-mail , 1 Feb 2018,,,,, ,U,17 Feb 2018,,
Illinois At Urbana Champaign (UIUC),Nuclear Plasma And Radiological Engineering, PhD (F18),Accepted , E-mail , 5 Feb 2018,,,,, ,U,15 Feb 2018,Received through Email.,
Massachusett Institute Of Technology (MIT),Nuclear Science & Engineering, PhD (F18),Accepted , E-mail , 6 Feb 2018,,,,, ,U,14 Feb 2018,Received from email,
Massachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F18),Accepted , E-mail , 6 Feb 2018,,,,, ,I,13 Feb 2018,,
Penn State (PSU) University Park,Nuclear Engineering, PhD (F18),Accepted , E-mail , 12 Feb 2018,,,,, ,I,13 Feb 2018,,
NC State (NCSU),Nuclear Engineering, PhD (F18),Accepted , E-mail , 12 Feb 2018 ,4,156,168,4.5, n/a,A,12 Feb 2018,,
"University Of Michigan, Ann Arbor",Nuclear Engineering & Radiological Sciences, PhD (F18),Other , E-mail , 9 Feb 2018 ,3.78,160,164,4.5, n/a,A,11 Feb 2018,"Email invitation to a complimentary trip to visit their campus, meet faculty and students and learn more about the research and department.",
Purdue University,Nuclear Engineering, PhD (F18),Accepted , E-mail , 7 Feb 2018,,,,, ,I,9 Feb 2018,No words about funding!,
University Of California Berkeley,Nuclear Engineering, PhD (F18),Other , E-mail , 8 Feb 2018 ,2.7,98,97,5.5,770,A,9 Feb 2018,"Received an email inviting me to accepted students' weekend in March, but also saying that my application was still being reviewed. There was also funding info in the email. Has anyone else received this? Doesn't make much sense.",
TAMU (Texas A & M University) College Station,Nuclear Engineering, Masters (F18),Accepted , Website , 6 Feb 2018 ,3.6,149,164,4, n/a,A,8 Feb 2018,,
Massaaachusett Institute Of Technology (MIT),Nuclear Engineering, PhD (F18),Rejected , E-mail , 6 Feb 2018,,,,, ,I,6 Feb 2018,,
Massachusett Institute Of Technology (MIT),Nuclear Engineering, PhD (F18),Accepted , E-mail , 6 Feb 2018 ,3,155,167,3, n/a,I,6 Feb 2018,"Yayyyy, I made it! Still figuring out if that's true or an scam email, hahahha. Just kidding. I wish luck to all other applicants and I hope all your efforts you be paid off.",
Massaaachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (F18),Rejected , E-mail , 6 Feb 2018 ,3.97,157,167,3.5, n/a,I,6 Feb 2018,"Nuclear Engineer at ITER for past 4 years, 7 publications, Strong reco",
Massaaachusett Institute Of Technology (MIT),Nuclear And Science Engineering, PhD (F18),Rejected , E-mail , 6 Feb 2018 ,3.8,155,170,3, n/a,I,6 Feb 2018,,
Massachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F18),Accepted , E-mail , 6 Feb 2018 ,3.84,155,160,5, n/a,A,6 Feb 2018,,
Massachusetts Insitute Of Technology (MIT),Nuclear Science And Engineering, PhD (F18),Accepted , E-mail , 6 Feb 2018 ,4,156,168,4.5, n/a,A,6 Feb 2018,,
Massaaachusett Institute Of Technology (MIT),Nuclear Engineering, PhD (F18),Other , Other , 6 Feb 2018,,,,, ,O,6 Feb 2018,Does anyone get the interviews or any feedback? Thanks and good luck to you all!,
ีUniversity Of Wisconsin - Madison,Nuclear Engineering And Engineering Physics, PhD (F18),Accepted , E-mail , 30 Jan 2018 ,3.82,161,161,5.5, n/a,A,5 Feb 2018,"EE/CompE Double Major, 5 years professional engineering experience",
The University Of Utah,Nuclear Of Engineering & Engineering Physics, PhD (F18),Interview , E-mail , 3 Feb 2018 ,3.52,151,159,3.5,640,A,3 Feb 2018,"3 years of research, and decent GRE scores. Very happy about the visit.",
The University Of Utah,Nuclear Engineering & Engineering Physics, PhD (F18),Interview , E-mail , 3 Feb 2018 ,3.65,156,155,5, n/a,A,3 Feb 2018,Paid flight out to interview.,
Massachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, Masters (F18),Rejected , E-mail , 26 Jan 2018 ,3.6,164,166,3, n/a,I,29 Jan 2018,"5-year work experience as engineer, two in nuclear projects.",
Massachusetts Institute Of Technology,Nuclear Science And Engineering, PhD (F18),Accepted , E-mail , 26 Jan 2018 ,3.97,166,168,5.5, n/a,A,27 Jan 2018,"Three years of research at my undergrad, two internships at national labs, president of engineering club",
ีUniversity Of Wisconsin - Madison,Nuclear Engineering & Engineering Physics, PhD (F18),Accepted , E-mail , 23 Jan 2018,,,,, ,A,23 Jan 2018,,
GaTech (Georgia Institute Of Technology),Nuclear Engineering, PhD (F18),Accepted , E-mail , 22 Jan 2018,,,,, ,A,23 Jan 2018,Admitted with no funding...,
Penn State (Pennsylvania State University),Mechanical And Nuclear Engineering, PhD (F18),Accepted , E-mail , 20 Jan 2018 ,3.92,161,164,5.5, n/a,A,20 Jan 2018,"Received 1/2-time TA (full tuition remission + ~$22,000 for fall and spring), & campus visit is in the works.",
"University Of Michigan, Ann Arbor",Nuclear Engineering And Radiological Sciences, PhD (F17),Rejected , E-mail , 18 Apr 2017 ,n/a,144,170,4, n/a,I,3 Jul 2017,"part of their reply to my inquiry about the reason I was rejected: ""NERS is a very competitive program, and there were other candidates with a stronger record. The majority of PhD applicant admitted to our program had a GPA higher than 3.8. Finally, faculty makes offers to students based on the best research match for their lab. So sometimes students with the best academic record don't get admitted also""",
"École Polytechnique Fédérale De Lausanne, EPFL",Nuclear Engineering, Masters (F17),Other , Other , 13 Jun 2017,,,,, ,I,13 Jun 2017,"For the poster below now, did you apply during the first or second round? As in, the admission round with a january or an april deadline.",
"École Polytechnique Fédérale De Lausanne, EPFL",Nuclear Engineering, Masters (F17),Other , E-mail , 13 Jun 2017,,,,, ,I,13 Jun 2017,"To the poster below, I have received the offer at the mid of April.",
"École Polytechnique Fédérale De Lausanne, EPFL",Nuclear Engineering, Masters (F17),Other , Other , 13 Jun 2017,,,,, ,I,13 Jun 2017,"For the dude below me, I haven't heard back for the 15th of April yet either.",
Rensselaer Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", PhD (F17),Rejected , E-mail , 24 May 2017,,,,, ,I,24 May 2017,"The admission committee notified that if there is no acceptance this late then this should be considered as a rejection. My opinion is also the same, dont bother waiting for an acceptance if there is still no response. Terrible admission procedure wasting people's time.",
Rensselaer Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", PhD (F17),Other , E-mail , 23 May 2017,,,,, ,O,23 May 2017,"The grad office says they are going thru evaluation process as fast as they could. I doubt that because I applied way back in december and no words yet. They also told me to accept other ""promising"" offers, so I would not be hopeful at the moment if no offer has been made. I am sure that eventough an offer comes this late it would be w/o funding. Very frustrating and disappointing.",
Renssalear Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", PhD (F17),Other , E-mail , 19 May 2017,,,,, ,U,19 May 2017,"Did anyone get the offer from the second round? It's very late date in the processing, they told me not to wait anymore.",
Renssalear Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)",PhD (F17),Other , Other , 9 May 2017,,,,, ,I,9 May 2017,To the poster below, Yes I have received the same mail as you inquiring if I am still interested to join RPI. After that no news from them. However I need to start processing my visa soon. In a fix if I should wait.
Renssalear Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", PhD (F17),Other , E-mail , 7 May 2017,,,,, ,I,7 May 2017,"To the poster below. Have you been asked with email if you are still interested or not? I have been so, but have not heard from them since",
Renssalear Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", PhD (F17),Wait listed , E-mail , 1 May 2017 ,3.52,151,162,4,313,I,1 May 2017,Have anyone heard from them yet? Have they started to give admission decision from the wait listed candidate? I have other low ranked offers and I need to start visa processing soon.,
Rensselaer Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", PhD (F17),Other , E-mail , 20 Apr 2017,,,,, ,I,20 Apr 2017,"Thank you for your interest in our MANE Dept. PhD programs at Rensselaer Polytechnic Institute (RPI).   Currently, your application is one of the few still under review and possible consideration for admission and financial support for Fall2017.  

Before we make the final decision, we would like to know if you are interested in attending RPI or if you have already decided on what school you plan on attending this fall.",
Georgia Institute Of Technology ( GaTech ),Nuclear And Radiological Engineering And Medical Physics, PhD (F17),Rejected , Website , 17 Apr 2017,,,,, ,U,19 Apr 2017,Received no emails about the result and found out on the application web,
"University Of Michigan, Ann Arbor",Nuclear Engineering, PhD (F17),Rejected , E-mail , 18 Apr 2017 ,3.4,157,160,4.5, n/a,A,18 Apr 2017,Took 'em long enough!  Already registered for fall classes at another institution.,
University Of Michigan,Nuclear Engineering And Radiological Sciences, PhD (F17),Accepted , E-mail , 12 Apr 2017,,,,, ,A,12 Apr 2017,,
University Of Texas At Austin,Nuclear Engineering, PhD (S17),Rejected , Website , 12 Apr 2017,,,,, ,I,12 Apr 2017,I regret applying to this university. Their NE program is rather small and don't recruit many phd students.,
Illinois At Urbana Champaign (UIUC),Nuclear Engineering, PhD (S17),Other , E-mail , 8 Apr 2017,,,,, ,I,8 Apr 2017,"To the post below, I got the same reply about two weeks ago and I simply quit waiting and accept NCSU. I think the NE programs are all great and if you find interest in any professor's projects, you shouldn't hesitate if the offer is good.",
The University Of Illinois Urbana-Champaign (UIUC),Nuclear Engineering & Radiological Sciences, PhD (F17),Other , E-mail , 7 Apr 2017,,,,, ,I,7 Apr 2017,"Emailed and was told that their admission process was currently on-hold because they were waiting for the reply from the candidates admitted in the first round.
If anyone got an acceptance but will not attend then please DECLINE the offer!!",
ีUniversity Of Wisconsin - Madison,Nuclear Engineering & Engineering Physics, PhD (F17),Accepted , E-mail , 5 Apr 2017,,,,, ,I,5 Apr 2017,,
The University Of New Mexico (UNM),Nuclear Engineering, PhD (F17),Accepted , E-mail , 5 Apr 2017 ,3.5,157,160,4.5, n/a,A,5 Apr 2017,,
"University Of Michigan, Ann Arbor",Nuclear Engineering & Radiological Sciences, PhD (F17),Accepted , E-mail , 27 Mar 2017 ,3.86,163,163,4.5, n/a,A,27 Mar 2017,"American student from public mid-tier university, currently H.B.S Physics, nuclear engineering minor. Also have done 2 DOE summer internships.",
Oregon State University ( OSU ),Nuclear Engineering, PhD (F17),Rejected , E-mail , 24 Mar 2017 ,n/a,144,170,3.5, n/a,I,24 Mar 2017,They said they there were no faculty members with similar research interests that had PhD seats available.,
University Of Michigan,Nuclear Engineering, PhD (F17),Accepted , E-mail , 22 Mar 2017,,,,, ,A,22 Mar 2017,Finally!,
University Of Purdue,Nuclear Engineering, PhD (F17),Accepted , E-mail , 21 Mar 2017 ,n/a,144,170,3.5, n/a,I,22 Mar 2017,No funding.,
"University Of Michigan, Ann Arbor",Nuclear Engineering, PhD (F17),Other , Other , 20 Mar 2017,,,,, ,A,20 Mar 2017,"To the response below (""I've heard from NC, Illinois, MIT, Berkeley, and New Mexico. I have also withdrawn my applications at Texas A&M and Penn State""). Any acceptance? Any decision?",
"University Of Michigan, Ann Arbor (Umich)",Nuclear Engineering & Radiological Sciencesr Engineering, PhD (F17),Other , Other , 19 Mar 2017,,,,, ,I,19 Mar 2017,"I've applied to many schools; and heard from NC, Illinois, MIT, Berkeley, and New Mexico. I have also withdrawn my applications at Texas A&M and Penn State.",
University Michigan Ann Arbor,Nuclear Engineering, PhD (F17),Other , Other , 19 Mar 2017,,,,, ,A,19 Mar 2017,"To the others waiting for UMich Ann Arbor, where else did you apply and have you heard from anywhere else?",
ีUniversity Of Wisconsin - Madison,Nuclear Engineering And Engineering Physics, PhD (F17),Rejected , E-mail , 17 Mar 2017,,,,, ,I,18 Mar 2017,"Sad... Partly unexpected, but acceptable. To be better in the future!",
ีUniversity Of Wisconsin - Madison,Nuclear Engineering And Engineering Physics, PhD (F17),Other , E-mail , 17 Mar 2017,,,,, ,I,17 Mar 2017,"The Department of Engineering Physics at the University of Wisconsin Madison, would like to recommend your Nuclear Engineering & Engineering Physics application to The Graduate School.",
ีUniversity Of Wisconsin - Madison,Nuclear Engineering & Engineering Physics, PhD (F17),Rejected , E-mail , 17 Mar 2017 ,n/a,150,167,3, n/a,I,17 Mar 2017,,
ีUniversity Of Wisconsin - Madison,Nuclear Engineering And Engineering Physics, PhD (F17),Rejected , Website , 17 Mar 2017,,,,, ,U,17 Mar 2017,They don't admit many internationals anyway.,
UMich,Nuclear Engineering, PhD (F17),Other , Other , 16 Mar 2017,,,,, ,A,16 Mar 2017,"To the users below, where else did you apply/a/r/w? Hate the wait.",
"University Of Michigan, Ann Arbor",Nuclear Engineering & Radiological Sciences, PhD (F17),Other , Other , 16 Mar 2017,,,,, ,I,16 Mar 2017,The wait is killing me...,
"University Of Michigan, Ann Arbor",Nuclear Engineering & Radiological Sciences, PhD (F17),Other , Other , 16 Mar 2017,,,,, ,I,16 Mar 2017,"To the poster below, I didn't hear from them (UMich) yet!
Best of Luck..",
UC Berkeley,Nuclear Engineering, PhD (F17),Other , E-mail , 7 Feb 2017,,,,, ,I,13 Mar 2017,I think that almost every applicant received the same email asking us to transfer the application to M.Eng. I ignored it and haven't heard from Berkeley since then. Still wondering if anyone has got into the PhD program. Going to contact them after spring break.,
The University Of New Mexico (UNM),Nuclear Engineering, PhD (F17),Interview , E-mail , 7 Mar 2017 ,n/a,144,170,3.5, n/a,I,12 Mar 2017,,
UC Berkeley,Nuclear Engineering, Masters (F17),Accepted , E-mail , 10 Mar 2017,,,,, ,I,12 Mar 2017,"I don't get the point from asking everyone to transfer their applications from PhD to M. Eng degree. I thought I was the only one as I was told that my profile would specifically fit in the M. Eng program and I accepted to transfer. However, I received an email telling me that I was accepted to M. Eng with 30% grant.",
UC Berkeley,Nuclear Engineering, PhD (F17),Accepted , E-mail , 10 Mar 2017 ,3.4,157,160,4.5, n/a,A,11 Mar 2017,"***Revising Previous Entry***
BSEE Undergrad. 5 years technician experience. 2 years R&D experience. 2 internships. Applied to PhD, accepted to M.Eng.  With grant.",
UC Berkeley,Nuclear Engineering, PhD (F17),Accepted , E-mail , 10 Mar 2017 ,3.4,160,157,4.5, n/a,A,10 Mar 2017,BSEE Undergrad.  5 years technician experience.  2 years R&D experience.  2 internships.  With Grant.,
UC Berkeley,Nuclear Engineering, PhD (F17),Rejected , E-mail , 10 Mar 2017,,,,, ,A,10 Mar 2017,,
Illinois At Urbana Champaign (UIUC),Nuclear Engineering, PhD (F17),Accepted , E-mail , 15 Feb 2017 ,3.6,162,170,4, n/a,I,7 Mar 2017,PhD application. Offered MS with opportunity for PhD. Assistantship,
The University Of Illinois At Urbana-Champaign,Nuclear And Radiological Engineering, PhD (F17),Other , Other , 7 Mar 2017,,,,, ,A,7 Mar 2017,"To the UIUC admit below, did you have research experience? What kinda funding did you get?",
Illinois At Urbana Champaign (UIUC),Nuclear Engineering, PhD (F17),Accepted , E-mail , 3 Mar 2017 ,n/a,150,167,3, n/a,I,6 Mar 2017,"Applied to PhD, accepted to MS with fund.",
Gorgia Tech,Nuclear Engineering, PhD (F17),Wait listed , E-mail , 21 Feb 2017 ,n/a,150,167,3, n/a,I,6 Mar 2017,,
