Shiraz University,Department Of Mechanical And Nuclear Engineering, Masters (S19),Other , Website , 16 Jul 2018,,,,, ,I,16 Jul 2018,,
Purdue,Nuclear Engineering, PhD (F17),Accepted , E-mail , 8 Feb 2017 ,n/a,150,167,3, n/a,I,6 Mar 2017,No Fund !!!,
NC State (NCSU),Nuclear Engineering, PhD (F17),Accepted , E-mail , 31 Jan 2017 ,n/a,150,167,3, n/a,I,6 Mar 2017,With Fund. No interview.,
Massachusetts Institute Of Technology,Nuclear Science & Engineering, PhD (F17),Rejected , E-mail , 3 Mar 2017 ,3.82,151,170,3.5,990,I,3 Mar 2017,,
Massaaachusett Institute Of Technology (MIT),Nuclear Engineering, PhD (F17),Rejected , E-mail , 2 Mar 2017,,,,, ,I,3 Mar 2017,"Double rejected by MIT, still a long way to go!",
MIT,Nuclear Engineering, PhD (F17),Rejected , E-mail , 2 Mar 2017 ,3.5,157,160,4.5, n/a,A,2 Mar 2017,As expected...,
Massaaachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F17),Rejected , E-mail , 2 Mar 2017 ,4,160,170,5, n/a,I,2 Mar 2017,此处不留爷，自有留爷处,
Massaaachusett Institute Of Technology (MIT),Nuclear And Science Engineering, PhD (F17),Rejected , E-mail , 2 Mar 2017,,,,, ,I,2 Mar 2017,,
Massachusett Institute Of Technology (MIT),Nuclear Engineering, PhD (F17),Rejected , E-mail , 2 Mar 2017,,,,, ,I,2 Mar 2017,"It's MIT, worth a try right?",
TAMU (Texas A&M University),Nuclear Engineering, PhD (F17),Accepted , Website , 2 Feb 2017,,,,, ,I,2 Mar 2017,,
Texas A&M College Station (TAMU),Nuclear Engineering, PhD (F17),Accepted , Website , 1 Mar 2017,,,,, ,U,2 Mar 2017,,
Pennsylvania State University,Nuclear Engineering, PhD (F17),Accepted , E-mail , 1 Mar 2017,,,,, ,I,1 Mar 2017,Half-time TA offered,
MIT,Nuclear Science And Engineering, PhD (F17),Accepted , E-mail , 15 Feb 2017 ,3.3,164,162,5.5, n/a,A,1 Mar 2017,Two summers of research at national labs. First-name on an internal report. Head of outreach for ANS. Co-founder of a nuclear design club. Still surprised with my GPA.,
Massachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F17),Accepted , E-mail , 15 Feb 2017 ,3.5,166,170,5, n/a,A,27 Feb 2017,,
UC Berkeley,Nuclear Engineering, PhD (F17),Other , E-mail , 10 Feb 2017,,,,, ,A,27 Feb 2017,"To poster below.  I also was asked if I would consider changing my application to M.Eng. program instead of PhD.  I was also informed that Berkeley no longer has Masters of Science program in NE, except for Air Force active duty.  I was told formal acceptance will go out in beginning of march.",
ีUniversity Of Wisconsin- Madison,"Nuclear, Plasma And Radioligical Engineering", PhD (F17),Accepted , Website , 24 Feb 2017 ,3.92,157,161,4, n/a,A,27 Feb 2017,I checked the website on Sunday and it said congratulations youve been admitted. No other contact or information yet.,
UC Berekeley,Nuclear Engineering, PhD (F17),Other , E-mail , 11 Feb 2017,,,,, ,I,27 Feb 2017,"Am I the only one who was advised to transfer his PhD application to M. Eng?rnI accepted to transfer, and I'm expecting an admission soon. But only partial funding is expected!",
Massachusett Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F17),Accepted , E-mail , 21 Feb 2017,,,,, ,I,23 Feb 2017,,
University Of Illinois - Urbana Champaign,Nuclear Plasma And Radiological Engineering, PhD (F17),Accepted , E-mail , 14 Feb 2017 ,n/a,144,170,3.5, n/a,I,23 Feb 2017,"Accepted to MS with financial aid, and to be continued to PhD upon the department approval.",
Illinois At Urbana Champaign (UIUC),Nuclear And Radiological Engineering, Masters (F17),Rejected , E-mail , 23 Feb 2017 ,3.06,155,170,3.5, n/a,I,23 Feb 2017,Got an e-mail saying graduate committee cannot recommend admission for this program. -Probably my Bachelor degree does not meet the requirements.-,
Univerisity Of Illinois At Urbana Champaign (UIUC),Nuclear Engineering, PhD (F17),Rejected , E-mail , 23 Feb 2017,,,,, ,A,23 Feb 2017,Accepted to Berkeley and UT Knoxville,
Massachusetts Institute Of Technology ( MIT ),Nuclear Science And Engineering, PhD (F17),Accepted , E-mail , 21 Feb 2017 ,n/a,154,170,3.5, n/a,I,21 Feb 2017,Yay..!! Finally..!!,
Massachusett Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F17),Other , E-mail , 20 Feb 2017,,,,, ,I,20 Feb 2017,Does this department reject without notifications?,
The University Of Tennessee - Knoxville,Nuclear Engineering, PhD (F17),Other , E-mail , 17 Feb 2017,,,,, ,I,19 Feb 2017,Don't have funds for international students.Suggested to contact faculties directly.,
MIT,Nuclear Engineering, Masters (F17),Other , Other , 16 Feb 2017,,,,, ,I,16 Feb 2017,No email received yet means rejection ?,
Massachusett Institute Of Technology (MIT),Nuclear Engineering, PhD (F17),Accepted , E-mail , 16 Feb 2017,,,,, ,U,16 Feb 2017,Does anyone know about the Open House?,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (F17),Accepted , E-mail , 15 Feb 2017,,,,, ,U,16 Feb 2017,To the post below: have you heard anything about their open house? Do you know when it will be?,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (F17),Accepted , E-mail , 15 Feb 2017 ,4,160,170,4.5, n/a,I,15 Feb 2017,Looks like it's gonna be fun next few years.,
University Of Illinois Urbana Champaign ( UIUC ),Nuclear Plasma And Radiological Engineering, Masters (F17),Accepted , E-mail , 15 Feb 2017 ,n/a,154,170,3.5, n/a,I,15 Feb 2017,"Applied for Ph.D., accepted for Masters' with assistantship",
MIT,Nuclear And Science Engineering, Masters (F17),Accepted , E-mail , 15 Feb 2017,,,,, ,A,15 Feb 2017,"Mom, I made it ;)",
The University Of Illinois At Urbana-Champaign (UIUC),"Nuclear, Plasma, And Radiological Engineering", Masters (F17),Accepted , E-mail , 10 Feb 2017,,,,, ,A,12 Feb 2017,Applied to PhD. Accepted to MS with funding.,
NCSU (North Carolina State University),Nuclear Engineering, PhD (F17),Accepted , E-mail , 30 Jan 2017,,,,, ,U,11 Feb 2017,,
Purdue University,Nuclear Engineering, PhD (F17),Accepted , E-mail , 8 Feb 2017,,,,, ,U,11 Feb 2017,No word on funding yet.,
University Of Wisconsin,Nuclear Engineering & Engineering Physics, PhD (F16),Accepted , E-mail , 27 Jan 2017,,,,, ,A,7 Feb 2017,"The Department of Engineering Physics at the University of Wisconsin Madison, would like to recommend your Nuclear Engineering & Engineering Physics application to The Graduate School.  We request an official copy of your transcript for review before we can make the recommendation.",
Renssalear Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", PhD (F17),Accepted , E-mail , 12 Jan 2017 ,n/a,154,164,3.5, n/a,I,7 Feb 2017,"Had an interview and got a positive response in just 2 days. Decent UG scores, excellent Masters scores, 1 paper and several research internships.",
The University Of Tennessee (Knoxville),Nuclear Engineering, PhD (F17),Accepted , Website , 31 Jan 2017 ,3.91,155,162,3.5, n/a,U,4 Feb 2017,,
"North Carolina State University (NCSU), Raleigh",Nuclear Engineering, PhD (F17),Accepted , E-mail , 31 Jan 2017 ,3.5,160,170,4, n/a,I,31 Jan 2017,Accepted with fund. No interview.,
The University Of Wisconsin - Madison,Nuclear Engineering, PhD (F17),Other , E-mail , 27 Jan 2017 ,3.92,157,161,4, n/a,A,28 Jan 2017,"""The Dept. of Eng. Phys. would like to recommend your app to the Grad School."" official transcripts requested",
Georgia  Institute Of Technology (Georgia Tech),Nuclear And Radiological Engineering And Medical Physics, PhD (F17),Accepted , E-mail , 23 Jan 2017,,,,, ,A,27 Jan 2017,No word on funding.,
Penn State (PSU),Nuclear Engineering, PhD (F17),Accepted , E-mail , 13 Jan 2017,,,,, ,A,27 Jan 2017,Unofficial admission. Invited to recruitment event.,
Massachusett Institute Of Technology (MIT),Nuclear Engineering, PhD (F17),Other , Other , 17 Jan 2017,,,,, ,I,17 Jan 2017,Was anyone invited for an interview?,
University Of Tennessee Knoxville,Nuclear Engineering, PhD (F17),Accepted , Website , 11 Jan 2017 ,3.4,157,160,4.5, n/a,A,11 Jan 2017,"BSEE undergrad, 5 years technician experience, 2 years R&D Engineering (EE) experience for an energy company, 2 internships",
The University Of Tennessee (Knoxville),Nuclear Engineering, PhD (F17),Accepted , Website , 11 Jan 2017 ,3.5,170,160,4, n/a,I,11 Jan 2017,"Graduate GPA 3.7/4.0   T108  three years of research experience, no publications. Conditionally admitted on website two days before receiving formal decision letter",
Penn State (PSU) University Park,Mechanical And Nuclear Engineering, Masters (F16),Accepted , E-mail , 18 Mar 2016 ,8.59,153,170,4, n/a,I,7 Apr 2016,Got an admit in MS along with TA with full tuition waiver for one year.,
Purdue University,Nuclear Engineering, PhD (F16),Accepted , E-mail , 20 Feb 2016,,,,, ,I,28 Mar 2016,,
Penn State (Pennsylvania State University),Mechanical And Nuclear Engineering, PhD (F16),Other , Other , 17 Mar 2016,,,,, ,I,17 Mar 2016,To the guy below received financial aid: Did you apply for Masters or PhD? Have you had any contact with professors? Thanks,
Penn State (Pennsylvania State University),Mechanical And Nuclear Engineering, Masters (F16),Accepted , E-mail , 17 Mar 2016 ,3.82,152,167,4.5, n/a,I,17 Mar 2016,"got a TA of $10,755/sem for 2 semesters. Excited :D",
UCLA,The Department Of Mechanical And Aerospace Engineering Nuclear Engineering, PhD (F16),Accepted , E-mail , 15 Mar 2016 ,3.9,153,170,3.5, n/a,I,15 Mar 2016,Made my day!,
Illinois At Urbana Champaign (UIUC),Nuclear Engineering, PhD (F16),Accepted , E-mail , 11 Mar 2016 ,3.56,150,170,3, n/a,I,12 Mar 2016,Accepted with fund :),
Penn State (PSU),Nuclear Engineering, PhD (F16),Accepted , E-mail , 7 Mar 2016,,,,, ,U,8 Mar 2016,,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (F16),Accepted , Postal Service , 29 Feb 2016,,,,, ,I,2 Mar 2016,"Unpublished, 3 internships",
MIT,Nuclear Engineering, PhD (F16),Accepted , Postal Service , 26 Feb 2016,,,,, ,I,28 Feb 2016,,
University Of Tennessee,Nuclear Engineering, PhD (F16),Accepted , E-mail , 8 Jan 2016 ,3.4,153,169,3, n/a,I,23 Feb 2016,"One 1st author SCI paper, 3 years research experience.",
University Of Tennessee (Knoxville),Nuclear Engineering, PhD (F16),Accepted , E-mail , 24 Jan 2016 ,2.97,166,166,5, n/a,A,21 Feb 2016,non traditional student with nuclear engineering employment background (Physics undergrad >10 years ago),
MIT,Nuclear Engineering, Masters (F16),Wait listed , E-mail , 18 Feb 2016 ,3.7,169,164,5, n/a,A,20 Feb 2016,,
MIT,Nuclear Engineering, PhD (F16),Rejected , E-mail , 11 Feb 2016,,,,, ,U,16 Feb 2016,,
University Of Wisconsin-Madison,Nuclear Engineering, PhD (F16),Accepted , E-mail , 29 Jan 2016,,,,, ,U,16 Feb 2016,No funding,
MIT,Nuclear Science And Engineering, PhD (F16),Rejected , E-mail , 13 Feb 2016,,,,, ,I,16 Feb 2016,"One, 2nd-author SCI pub.
One year internship in nuclear field.
Fresh graduate.

",
Massachusett Institute Of Technology (MIT),Nuclear Engineering, PhD (F16),Rejected , E-mail , 11 Feb 2016,,,,, ,A,11 Feb 2016,,
Massaaachusetts Institute Of Technology (MIT),Nuclear Science And Engineering (Plasma Physics), PhD (F16),Accepted , E-mail , 4 Feb 2016,,,,, ,A,10 Feb 2016,Is anyone going to the visit day ?,
Massachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F16),Accepted , E-mail , 4 Feb 2016,,,,, ,A,9 Feb 2016,Also accepted to Berkeley,
Massaaachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F16),Accepted , E-mail , 9 Feb 2016,,,,, ,A,9 Feb 2016,Also accepted to Berkeley,
Georgia Insititute Of Technology (Georgia Tech),Nuclear Engineering (Medical Physics), PhD (F16),Accepted , E-mail , 8 Feb 2016,,,,, ,A,9 Feb 2016,,
Kansas State U,Mechanical And Nuclear Engineering, PhD (F16),Accepted , E-mail , 2 Feb 2016,,,,, ,I,5 Feb 2016,accepted w/ funding,
Massachusetts Institute Of Technology ( MIT ),Nuclear Science And Engineering (Plasma Physics), PhD (F16),Accepted , E-mail , 4 Feb 2016 ,4,168,167,5.5,790,A,4 Feb 2016,,
The University Of Tennesee Knoxville,Nuclear Engineering, PhD (F16),Accepted , Website , 11 Jan 2016 ,3.71,166,168,5, n/a,A,1 Feb 2016,Invited to recruitment weekend. They also emailed me awhile before I was accepted to keep the visit weekend open.,
The University Of Wisconsin - Madison,Nuclear Engineering, PhD (F16),Accepted , E-mail , 29 Jan 2016 ,3.81,164,158,6, n/a,A,29 Jan 2016,"Not offered any funding. Even if - their funding options are not as good as RPI or OSU. Wonderful and friendly faculty, helped me with several external fellowship applications.",
Oregon State University,Nuclear Engineering, PhD (F16),Accepted , E-mail , 26 Jan 2016 ,3.81,164,158,6, n/a,A,27 Jan 2016,Offered 2k/month TA. I had a good research proposal that I used for my fellowship Apps. I think this played a big role in my acceptance here and @ RPI. Best of luck to below!,
Rensselaer Polytechnic Institute (RPI),Nuclear Engineering, PhD (F16),Accepted , E-mail , 13 Jan 2016 ,3.81,164,158,6, n/a,A,27 Jan 2016,"First Acceptance! No peer reviewed publications, but lots of press through NASA - 3 years research + 3 years teaching experience. Offered 18.5k TA.",
Oregon State University (OSU),Nuclear Engineering, PhD (F16),Rejected , E-mail , 26 Jan 2016 ,3.3,0,164,0, n/a,I,27 Jan 2016,"One publication, Master's GPA=3.6, 3 years relevant experience.
First answer, really disappointed :(",
Idaho State (Pocatello),Nuclear Science And Engineering, Masters (F16),Accepted , E-mail , 23 Dec 2015,,,,, ,A,23 Dec 2015,First admission. I am super excited! I am also wondering about what is like living in Pocatello. Good luck to everyone!,
Penn State (PSU) University Park,Department Of Mechanical And Nuclear Engineering, PhD (S16),Rejected , E-mail , 12 Nov 2015 ,n/a,152,167,3.5, n/a,I,12 Nov 2015,sent a mail requesting to consider the same application for F16. Does anyone know instances in which students rejected in spring were offered an admission in Fall with the same application?,
Penn State (PSU) University Park,Department Of Mechanical And Nuclear Engineering, PhD (S16),Rejected , E-mail , 12 Nov 2015 ,n/a,152,167,3.5, n/a,I,12 Nov 2015,,
University Of Wisconsin - Madison,Nuclear Engineering, PhD (F15),Rejected , E-mail , 24 Apr 2015 ,3.81,165,168,5, n/a,I,2 May 2015,"Triple major, math, physics, aerospace engineering. One PRL publication 1st author.",
UC Berkeley,Nuclear Engineering, PhD (F15),Rejected , Website , 29 Apr 2015 ,3.59,161,162,4.5, n/a,A,29 Apr 2015,"Finishing a MS in Nuclear Engineering with 3.959 GPA. Been accepted to RPI, Tennessee, and NC State.  Good luck to those who have been accepted and to those who apply for next year. :)",
University Of Wisconsin-Madison,Nuclear Engineering, Masters (F15),Rejected , E-mail , 23 Apr 2015 ,3.2,162,170,4, n/a,I,23 Apr 2015,,
North Carolina State University,Nuclear Engineering, PhD (F15),Rejected , Website , 21 Apr 2015,,,,, ,I,21 Apr 2015,,
Georgia Institute Of Technology,Nuclear Engineering, PhD (F15),Accepted , E-mail , 8 Apr 2015 ,3.4,150,158,4, n/a,A,9 Apr 2015,Accepted into Medical Physics Masters Program at Emery University also.,
UC Berkeley,Nuclear Engineering, PhD (F15),Other , Other , 8 Apr 2015,,,,, ,O,8 Apr 2015,"Don't worry, Mechanical Engineers, I'm waiting to hear back about admission, as well.  I called 3 times in the past month and their only response was to be patient.  The secretary told me that if I haven't received a rejection letter, my application is still under consideration.  There's still a small chance we may be accepted.",
Ohio State University,Nuclear Engineering, PhD (F15),Rejected , Website , 4 Apr 2015,,,,, ,I,4 Apr 2015,,
NCSU,Nuclear Engineering, Masters (F15),Rejected , Website , 1 Apr 2015 ,3.28,146,160,3, n/a,,1 Apr 2015,,
KTH Royal Institute Of Technology,Nuclear Engineering, Masters (F15),Accepted , Website , 26 Mar 2015,,,,, ,I,28 Mar 2015,,
University Of Florida,Nuclear Engineering, Masters (F15),Accepted , E-mail , 27 Mar 2015 ,3.28,146,160,3, n/a,I,27 Mar 2015,Awarded 4500 USD scholarship,
University Of Michigan,Nuclear Engineering, PhD (F15),Accepted , E-mail , 23 Mar 2015 ,3.7,151,159,4, n/a,A,23 Mar 2015,Offered RA after emailing the Prof.,
University Of New Mexico,Nuclear Engineering, Masters (S15),Accepted , Postal Service , 21 Mar 2015,,,,, ,A,22 Mar 2015,,
Mit,Nuclear Engineering, PhD (F15),Rejected , E-mail , 16 Mar 2015 ,3.56,150,155,3, n/a,A,16 Mar 2015,"I am sorry to inform you that your application for admission to the NSE graduate program was NOT approved.
We wish you much success in your future educational endeavors",
"University Of Michigan, Ann Arbor",Nuclear Engineering, PhD (F15),Wait listed , E-mail , 13 Mar 2015 ,3.64,162,164,4.5, n/a,A,13 Mar 2015,,
MIT,Computational Science And Engineering (CSE) / Nuclear Science And Engineering (NSE), PhD (F15),Rejected , E-mail , 12 Mar 2015,,,,, ,A,13 Mar 2015,,
University Of Michigan (UMich),Nuclear Engineering, PhD (F15),Wait listed , E-mail , 11 Mar 2015,,,,, ,U,13 Mar 2015,,
UC Berkeley,Nuclear Engineering, PhD (F15),Other , E-mail , 10 Mar 2015,,,,, ,A,10 Mar 2015,To the guy who got accepted into M. Eng. but I applied to PhD. Have you contact them? I got an acceptance today and is also for masters but I applied to phd,
UC Berkeley,Nuclear Engineering, Masters (F15),Accepted , E-mail , 6 Mar 2015,,,,, ,A,6 Mar 2015,M.Eng. Can't believe it! Fung Fellowship :),
ETH Zurich,Nuclear Engineering, Masters (F15),Accepted , E-mail , 4 Mar 2015,,,,, ,I,6 Mar 2015,No info on ESOP. 8.78/10 GPA. 2 years of research experience. 2 planned publications,
"Aristotle University Of Thessaloniki, Greece",Nuclear Engineering, Masters (F15),Accepted , E-mail , 4 Mar 2015,,,,, ,I,6 Mar 2015,No info on ESOP.,
Massachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F15),Accepted , Other , 5 Mar 2015 ,3.81,165,168,5, n/a,I,5 Mar 2015,"Emailed requesting information, received unofficial offer pending official transcripts. Undergrad w/ triple major, math, physics, aerospace engineering. One PRL publication 1st author.",
MIT,"Nuclear, Science And Engineering", PhD (F15),Other , E-mail , 3 Mar 2015,,,,, ,O,3 Mar 2015,"To the question:"" To the nse poster below: when did you get email ? I havent heard any single word yet"", I got email on March 2nd. I mailed to Clare to ask for the result about a week ago and yesterday I got the news.",
MIT,Nuclear Engineering, PhD (F15),Rejected , E-mail , 2 Mar 2015 ,3.64,162,164,4.5, n/a,A,3 Mar 2015,,
MIT,Nuclear Science And Engineering, PhD (F14),Other , Other , 2 Mar 2015,,,,, ,I,2 Mar 2015,To the nse poster below: when did you get email ? I havent heard any single word yet,
MIT,Nuclear And Science Engineering, PhD (F15),Rejected , E-mail , 2 Mar 2015,,,,, ,U,2 Mar 2015,"3 publications, 2 conferences, 3 years research experience. So hard to get in.",
MIT,Nuclear Science And Engineering, PhD (F15),Rejected , E-mail , 2 Mar 2015,,,,, ,A,2 Mar 2015,"Masters from a top 10 school, 3 years of research, 2 conference papers, 1 journal article (not first author), and a partridge in a pear tree",
MIT,Nuclear Science And Engineering, PhD (F15),Rejected , E-mail , 2 Mar 2015 ,4,152,170,3, n/a,I,2 Mar 2015,"1 year research, 1 publication. Had a professor in contact, but still rejected :(",
Mit,Nuclear Science And Engineering, PhD (F15),Accepted , E-mail , 26 Feb 2015,,,,, ,I,27 Feb 2015,2 publications 3 years research experience,
UIUC,Nuclear Engineering, PhD (F15),Accepted , E-mail , 24 Feb 2015 ,3.4,153,163,4, n/a,A,25 Feb 2015,First acceptance and with funding!,
UC Berkeley,Nuclear Engineering, PhD (F15),Other , E-mail , 25 Feb 2015,,,,, ,A,25 Feb 2015,Applied for PhD. Accepted into Masters.,
UC Berkeley,Nuclear Engineering, PhD (F15),Accepted , E-mail , 4 Feb 2015,,,,, ,U,24 Feb 2015,With funding,
UC Berkeley,Nuclear Engineering, PhD (F15),Accepted , E-mail , 4 Feb 2015,,,,, ,U,24 Feb 2015,,
Pennsylvania State University,Nuclear Engineering, PhD (F15),Accepted , E-mail , 20 Feb 2015,,,,, ,I,24 Feb 2015,"To the question: you bring your own funding, don't you?rnUIUC offers me the assistantship including a monthly stipend and also includes a tuition and partial fee waiver.",
University Of Michigan,Nuclear Engineering, PhD (F15),Rejected , E-mail , 23 Feb 2015,,,,, ,I,23 Feb 2015,,
University Of Illinois At Urbana-Champaign,Nuclear Engineering, PhD (F15),Accepted , E-mail , 18 Feb 2015 ,3.67,168,148,3, n/a,I,23 Feb 2015,,
Georgia Institute Of Technology,Nuclear Engineering, PhD (F15),Rejected , Website , 13 Feb 2015 ,3.67,168,148,3, n/a,I,23 Feb 2015,,
North Carolina State University,Nuclear Engineering, PhD (F15),Accepted , E-mail , 13 Feb 2015 ,3.67,168,148,3, n/a,I,23 Feb 2015,,
Virginia Tech,Nuclear Engineering, PhD (F15),Accepted , E-mail , 11 Feb 2015 ,3.67,168,148,3, n/a,I,23 Feb 2015,,
Rensselaer Polytechnic Institute,Nuclear Engineering, PhD (F15),Rejected , Website , 10 Feb 2015 ,3.67,168,148,3, n/a,I,23 Feb 2015,,
Purdue University,Nuclear Engineering, PhD (F15),Accepted , E-mail , 28 Jan 2015 ,3.67,168,148,3, n/a,I,23 Feb 2015,,
"University Of Tennessee, Knoxville",Nuclear Engineering, PhD (F15),Accepted , E-mail , 26 Jan 2015 ,3.67,168,148,3, n/a,I,23 Feb 2015,,
Ohio State University,Nuclear Engineering, PhD (F15),Accepted , E-mail , 14 Jan 2015 ,3.67,168,148,3, n/a,I,23 Feb 2015,,
UC Berkeley,Nuclear Engineering, PhD (F15),Accepted , E-mail , 4 Feb 2015 ,3.3,161,168,5.5, n/a,A,21 Feb 2015,PI has good relations with several of the faculty in the program. Have several publications. Have been in a lab for more than 2 years.,
Purdue,Nuclear Engineering, PhD (F15),Accepted , E-mail , 20 Feb 2015,,,,, ,I,20 Feb 2015,another AD...no funding...,
Georgia Institute Of Technology,Nuclear Engineering, PhD (F15),Rejected , E-mail , 14 Feb 2015 ,n/a,170,154,3, n/a,I,20 Feb 2015,,
Georgia Institute Of Technology,Nuclear And Radiological Engineering And Medical Physics, PhD (F15),Accepted , E-mail , 13 Feb 2015,,,,, ,A,19 Feb 2015,,
UIUC,Nuclear Plasma And Radiological Engineering, Masters (F15),Accepted , E-mail , 17 Feb 2015 ,4,152,170,3, n/a,I,17 Feb 2015,From NITK,
University Of Illinois Urbana-Champaign,Nuclear Engineering, PhD (F15),Rejected , E-mail , 16 Feb 2015 ,3.56,155,151,3, n/a,A,16 Feb 2015,,
University Of Florida,Nuclear Engineering, PhD (F15),Accepted , E-mail , 13 Feb 2015,,,,, ,A,15 Feb 2015,Physics undergrad.  Admitted and fully funded.,
North Carolina State University,Nuclear Engineering, PhD (F15),Accepted , E-mail , 12 Feb 2015,,,,, ,A,15 Feb 2015,,
University Of Illinois At Urbana-Champaign,"Nuclear, Plasma, And Radiological Engineering", PhD (F15),Accepted , E-mail , 13 Feb 2015 ,3.41,154,160,4.5, n/a,A,13 Feb 2015,Accepted with funding.,
"University Of Illinois, Urbana-Champaign",Nuclear Engineering, PhD (F15),Accepted , E-mail , 13 Feb 2015 ,3.64,162,164,4.5, n/a,A,13 Feb 2015,,
North Carolina State University (NCSU),Nuclear Engineering, PhD (F15),Accepted , E-mail , 12 Feb 2015 ,3.41,154,160,4.5, n/a,A,12 Feb 2015,I have a Master's degree already as well.,
